Timestamp,Scenario name:,Overall rating,Factions used,Play time  hours,Difficulty,Starting Resources,Starting Income,Starting Buildings,Starting Units,Victory / Defeat Conditions,Timed Events / Additional Rules,What did you like the most?,What could be improved?,Other suggestions?
03/12/2025 22:17:20,The Ambushed Accord,5,"Castle, Necropolis",4,Hard,Optimal,Needs more,Optimal,Optimal,5,5,Starting with neutral units and working together to beat it ,Aww talked about it ,We talked about it 
07/12/2025 00:14:22,The Ambushed Accord,3,"Necropolis, Dungeon, Inferno",7,Normal,Optimal,Needs more,Optimal,Needs more,4,2,"The ambush context was done pretty well, and by putting in the increasing ambush numbers, it did a good form of agency","The focus on morale as a reward made it a complete no factor for our Necro player, ther e should at the very least be an alternative. Just getting morale for the ambush battles also felt bad, especially for the later ambushes of gold and azure units - the player who tackles the 2 azures lost alot of resources and basically had to immediately do another 2 Azure battle, which included Azure dragons, which just didn't feel fair.","While the gimmick of starting with 2 neutral units and low starting resources made for an interesting start, it also randomly adds to delays of building up your army slower and that also could lead to very different experiences. The free side building on round 2 was very nice"
11/12/2025 00:26:02,Force of Will,4,"Dungeon, Rampart",4,Hard,Optimal,Needs less,Optimal,Optimal,3,4,"Quick gameplay, good progress",More challenging end fight for hard. Special movement for player irrelevant ,
10/01/2026 19:56:08,Blood for Ore,5,"Castle, Necropolis, Tower, Fortress",,Normal,Optimal,Optimal,Optimal,Optimal,5,5,,,
28/01/2026 17:50:12,Random Scenario,5,"Castle, Necropolis, Dungeon, Tower, Rampart, Fortress, Inferno",10,Hard,Optimal,Optimal,Optimal,Optimal,4,5,Randomness of it.,"Band-aid for a players that getting destroyed early on (This is Mostly on us for playing always on hard i guess). While round 10 is somewhat nice, it doesn't feel that impactful 70% of time. 

Also additional VP for Castle Siege of other players, seems like this mechanic is not used at all as there is no real benefit of it.",
09/03/2026 05:26:53,The Ambushed Accord,5,"Castle, Inferno",6,Normal,Optimal,Optimal,Optimal,Optimal,5,5,"Nice addon, that you could trade units","We had a huge dissagrement of a vague explained timed event. In turn 2, do you just get the Gears upgrade, or also the bronze dwelling? Because it makes no sense to get the tent, if the bronze dwelling is also with the Gears. Normalt you have to get the Bronze Dwelling before the Gear, so its very confusing that you state we get the Gear and we have to remember to also get the dwelling.  Please add a claryfication note, stateing if you get the bronze dwelling or not in turn 2.  This coop scenario was a 9,5 / 10.","Please add a claryfication note, stateing if you get the bronze dwelling or not, in turn 2 timed event."
09/03/2026 05:41:39,Sentinels,5,"Necropolis, Rampart",7,Hard,Optimal,Optimal,Optimal,Needs more,5,5,Diffent feel from the other coops.,"We lost three games in a row on hard, maybe its too hard, or maybe we were just unlucky. Still fun!",The gap between Normal and Hard seems big
11/04/2026 20:30:24,Race for the Dragon Isle,4,"Castle, Dungeon, Rampart, Fortress, Inferno, Factory",8,Hard,Optimal,Optimal,Optimal,Optimal,3,2,The simultaneous turns until first player reaches the island speed up the game so much. Feels like pve single player that turns later into pvp competitive race.,"Game has already a huge rng. So player having great tiles that offer big rewards like several artefacts that he can take 3x is insane value. I wouldnt remove all black dice, because it just hightens the inequality between tiles. Locations that give artefacts, upgrade cards, give spells are already strong. Now when a player takes them 3x, compared to other players that didnt luck out and dont have those locations on tiles, create huge power differences.

The dragon utopia should give ""discard hand, draw a new hand up to maximum allowed hand size"" or some other benefit. Players were standing in the middle sanctuary, waiting for someone to attack the dragon utopia, to use his cards, and then attacked him to take over utopia. It created a stallmate and a situation when it wasnt desirable to try to conquer dragon utopia. ","Love the scenario. 
Needs some clarification regarding how portals work, changes to black cube removal and tweak with the isle, but otherwise good job
"
15/04/2026 22:47:44,Arcane Artillery,5,"Castle, Necropolis, Tower",4,Hard,Optimal,Optimal,Optimal,Optimal,4,5,"Interfering with opponents' fights using arcane spikes. Tight map with few far tiles. Also, arcane artillery makes magic resistance cards actually useful.","We didn't like that arcane spikes can't be saved. Once somebody steals your obelisk, you're losing it.","Make arcane spikes ""ammo"" that players can accumulate as tokens. 1 token = 1 damage; 2 tokens = 1 damage, -1 defense; 3 tokens = 1 damage, -1 defense, negate special ability"
18/04/2026 00:58:13,Wandering Dragons,5,,,,,,,,,,,,
08/05/2026 23:54:53,Force of Will,4,"Dungeon, Tower",2,Hard,Optimal,Needs more,Optimal,Optimal,4,4,"I liked the unique layout of the final fight, that prevents players from hiding their ranaged units.

I like the relative simplicity of this scenario and small layout. ","It felt that I was always short of gold. Both me and my opponent sat 3 turns doing absolutely nothing waiting to have enough gold for our units to do actual DU combat. At one point I also took a turn to wait for more gold in the middle of the scenario not doing anything with my main hero.

Although the small layout is nice, the way it separates the players increases the feeling of having nothing to do before DU fight.

The scenario layout felt pretty cramped and the ""remove black cubes from X"" events did not feel like they did much due to not enough windmills/water wheels being present, though overall the timed events were alright.",Personally I'd increase starting income from 10 to 15 and lower the turn timer from 12 to 10 turns to apply more pressure as compansation for more income. It would significantly improve the pacing of the scenario.
02/06/2026 14:52:56,Rise from Exile,5,,,Impossible,,,,,,4,,,"This was an interesting scenario and it was fun to go about it a different way. We tested this on impossible and it truly was that 😂 Some questions were raised while we played: What is the voctory condition for 2 players (now it just states ""at the end of Round 10"" or for 4 players)? What happens if you first fail to capture your own town? -> Do the guards that have been eliminated resurrect for the next try? Does the battle for capturing your own town cost MP? Do the stacked tokens both sit on one unit at once, or do you have to choose which one to add to your unit? Can you split the stacked tokens between two bronze units? When you loose a fight and all units, do you search for new units (we did this and it was fun) or do you get the same exact starting units back?"
22/06/2026 12:47:42,Rise from Exile,5,"Castle, Stronghold, Cove",8,Normal,Optimal,Optimal,Optimal,Optimal,5,5,"Playing with stacked units.
Free map tile discovery once per round with secondary hero worked well.","A little bit bigger reward for the player, who captures their town at turn 5.","We used Chosen Factions + paying for starting units + starting stack tokens cost -rules

All players had a good starting town fight, last player survived with only 1 unit. Also, we didn't gain the 10 gold from starting income until after starting town had been captured.

We played shorter version on the map; no Center tiles. (We only had 3 Near tiles in the center -- 6 in total.
One player captured their starting town on turn 5 -> We gave him lvl5 main hero to not fall totally behind. Shorter map could have had 3 sea tiles surrounding the middle near tiles or vice versa.

What happens to your hero, if you would lose the starting town fight?

Looking forward to play with the other optional setup rules."
08/08/2026 20:31:31,Wandering Dragons,5,"Castle, Rampart, Conflux",5,Hard,Optimal,Optimal,Optimal,Optimal,5,4,Wandering dragons,"Map shape, dragon speed was a bit too high",
